operation,sku,name,brand,main_image_url,description,category,product_type,shape,cost,price,stock_quantity,points_on_sale,weight_kg,is_active,specifications_json,oem_codes_json,cross_references_json,applications_json
"{""A"": 36, ""F"": 8, ""G"": 8, ""H"": 104}",WF8126,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/ps821.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 36, ""F"": 8, ""G"": 8, ""H"": 104}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 65, ""B"": 24, ""C"": 24, ""H"": 69}",WL7413,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe673.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 24, ""C"": 24, ""H"": 69}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 57.5, ""B"": 23.5, ""C"": 23.5, ""H"": 113}",WL7424,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe666-2.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 57.5, ""B"": 23.5, ""C"": 23.5, ""H"": 113}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 65, ""B"": 31.5, ""C"": 31.5, ""H"": 115}",WL7240,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe640-5.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""C"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}",WL7470,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe677-4.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 52, ""B"": 24, ""C"": 24, ""D"": 52, ""H"": 112}",WL7507,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe688-5.jpg,"OE688/5, OE688/2",filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 91, ""B"": 33.5, ""C"": 33.5, ""H"": 91.5}",WL7306,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe666-1.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 65, ""B"": 28, ""C"": 21, ""H"": 101}",WL7476,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/oe688.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 230, ""B"": 204, ""H"": 42}",WA9752,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/ap026-1.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
"{""A"": 92, ""F"": 10, ""G"": 8, ""H"": 125}",WF8509,Automotive filter,WIX,https://filtron.eu/website/images/filters/large/pp840-6.jpg,Sin notas,filter,air,panel,10.0,20.0,100,2.3,1.5,True,"{""A"": 65, ""B"": 31.5, ""H"": 31.5, ""H"": 115}","[{""brand"": ""VW"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Filtrow"", ""code"": ""1L0 129 620""}]","[{""brand"": ""Volkswagen"", ""model"": ""Audi, Seat,Skoda"", ""years"": [1994, 1996, 2015], ""engine"": null}]"
